headlines,posted_time,tokens,labels,secondary_labels,kmeans_3_labels
Lowe: Danny Ainge is the king ... of Chipotle,2016-01-22,"['lowe', 'danny', 'ainge', 'king', 'chipotle']",0,0,0
Kobe picked for last ASG; voters leave out Green,2016-01-22,"['kobe', 'picked', 'last', 'asg', 'voter', 'leave', 'green']",0,0,0
"Van Gundy rips Pistons, calls effort 'deplorable'",2016-01-22,"['van', 'gundy', 'rip', 'piston', 'call', 'effort', 'deplorable']",0,0,0
Suns' Tucker leaves loss with chest contusion,2016-01-22,"['sun', 'tucker', 'leaf', 'loss', 'chest', 'contusion']",0,0,0
'Champagne will be flowing when they lose that 11th game',2016-01-21,"['champagne', 'flowing', 'lose', '11th', 'game']",0,0,0
Tate George sentenced to nine years for fraud,2016-01-21,"['tate', 'george', 'sentenced', 'nine', 'year', 'fraud']",0,0,0
Bucks coach Kidd to return to bench next week,2016-01-21,"['buck', 'coach', 'kidd', 'return', 'bench', 'next', 'week']",0,0,0
Grizzlies bring C Hollins back on 10-day deal,2016-01-21,"['grizzly', 'bring', 'c', 'hollins', 'back', '10day', 'deal']",0,1,0
"Benson, heirs make cases in competency appeal",2016-01-21,"['benson', 'heir', 'make', 'case', 'competency', 'appeal']",0,0,0
"Rockets GM: Front office, coach talk foul strategy",2016-01-21,"['rocket', 'gm', 'front', 'office', 'coach', 'talk', 'foul', 'strategy']",0,0,0
Hawks' 1st symposium part of racial healing effort,2016-01-21,"['hawk', '1st', 'symposium', 'part', 'racial', 'healing', 'effort']",0,0,0
More long-term fantasy value: Paul George or LeBron?,2016-01-21,"['longterm', 'fantasy', 'value', 'paul', 'george', 'lebron']",0,0,0
Rockets' Howard a no-go Friday due to ankle,2016-01-21,"['rocket', 'howard', 'nogo', 'friday', 'due', 'ankle']",0,0,0
All-Time #NBArank: The Top 10 small forwards in league history,2016-01-21,"['alltime', 'nbarank', 'top', '10', 'small', 'forward', 'league', 'history']",0,0,0
All-time #NBArank: Top 10 power forwards ever,2016-01-21,"['alltime', 'nbarank', 'top', '10', 'power', 'forward', 'ever']",0,0,0
Drummond sets mark with 23 missed free throws,2016-01-21,"['drummond', 'set', 'mark', '23', 'missed', 'free', 'throw']",0,0,0
Warriors throttle Bulls in one-sided road victory,2016-01-21,"['warrior', 'throttle', 'bull', 'onesided', 'road', 'victory']",0,0,2
Knicks' Porzingis 4th in jersey sales; Curry No. 1,2016-01-21,"['knicks', 'porzingis', '4th', 'jersey', 'sale', 'curry', '1']",0,0,0
"Millsap paces Hawks over Blazers, 104-98",2016-01-21,"['millsap', 'pace', 'hawk', 'blazer', '10498']",0,0,0
